A1(49),T1(40),A3 1(10),A3 2(10),T2(33),A2(25),A4(Bonus) (10),A1(5%),A2(5%),A3(5%),A4(3%),T1(12.5%),T2(12.5%),Q1(27),Q2(27),Q3(16),Final(70),Scaled Final(60%),Total Score(100%)
14,23,7,10,19,19,8,1.428571429,3.8,4.25,2.4,7.1875,7.196969697,22,24,7,53,45,72
43,18,7,10,7,23,,4.387755102,4.6,4.25,0,5.625,2.651515152,26,17,15,58,50,71
35,15,8,10,4,20,,3.571428571,4,4.5,0,4.6875,1.515151515,27,22,4,53,45,64
41,14,7,8,19,20,,4.183673469,4,3.75,0,4.375,7.196969697,14,18,14,46,39,63
19,22,7,6,21,20,,1.93877551,4,3.25,0,6.875,7.954545455,19,12,14,45,39,63
32,15,7,8,8,20,,3.265306122,4,3.75,0,4.6875,3.03030303,13,25,13,51,44,62
41,22,7,8,10,20,,4.183673469,4,3.75,0,6.875,3.787878788,12,20,13,45,39,61
33,15,8,10,9,20,,3.367346939,4,4.5,0,4.6875,3.409090909,13,26,6,45,39,59
42,20,8,8,16,19,,4.285714286,3.8,4,0,6.25,6.060606061,17,17,4,38,33,57
34,21,5,10,22,19,,3.469387755,3.8,3.75,0,6.5625,8.333333333,8,18,6,36,31,57
41,23,8,8,8,19,,4.183673469,3.8,4,0,7.1875,3.03030303,16,13,10,39,33,56
35,27,7,10,4,19,,3.571428571,3.8,4.25,0,8.4375,1.515151515,18,14,7,39,33,55
40,12,9,0,5,15,,4.081632653,3,2.25,0,3.75,1.893939394,18,21,7,46,39,54
29,16,8,10,13,19,,2.959183673,3.8,4.5,0,5,4.924242424,15,15,6,36,31,52
19,19,0,0,17,17,,1.93877551,3.4,0,0,5.9375,6.439393939,15,12,13,40,34,52
1,11,8,10,8,19,,0.102040816,3.8,4.5,0,3.4375,3.03030303,26,11,5,42,36,51
31,11,8,10,12,20,,3.163265306,4,4.5,0,3.4375,4.545454545,9,20,1,30,26,45
38,31,7,0,15,19,,3.87755102,3.8,1.75,0,9.6875,5.681818182,3,14,6,23,20,45
29,6,7,4,11,17,,2.959183673,3.4,2.75,0,1.875,4.166666667,17,13,3,33,28,43
24,28,9,0,8,0,,2.448979592,0,2.25,0,8.75,3.03030303,8,12,11,31,27,43
35,13,8,0,6,18,,3.571428571,3.6,2,0,4.0625,2.272727273,16,10,6,32,27,43
26,12,7,0,8,19,,2.653061224,3.8,1.75,0,3.75,3.03030303,8,12,11,31,27,42
35,11,8,10,7,19,,3.571428571,3.8,4.5,0,3.4375,2.651515152,10,12,4,26,22,40
26,13,7,0,7,19,,2.653061224,3.8,1.75,0,4.0625,2.651515152,8,11,10,29,25,40
22,12,5,0,10,0,,2.244897959,0,1.25,0,3.75,3.787878788,17,7,6,30,26,37
46,12,5,10,10,19,,4.693877551,3.8,3.75,0,3.75,3.787878788,9,10,0,19,16,36
28,13,7,10,0,19,,2.857142857,3.8,4.25,0,4.0625,0,8,12,1,21,18,33
38,4,7,4,12,17,,3.87755102,3.4,2.75,0,1.25,4.545454545,9,3,6,18,15,31
,15,5,10,0,19,,0,3.8,3.75,0,4.6875,0,10,8,3,21,18,30
31,13,8,0,0,18,,3.163265306,3.6,2,0,4.0625,0,10,4,6,20,17,30
42,21,7,10,3,0,,4.285714286,0,4.25,0,6.5625,1.136363636,5,4,5,14,12,28
41,21,0,0,0,0,,4.183673469,0,0,0,6.5625,0,,,,0,0,11
42,8,9,6,23,11,,4.285714286,2.2,3.75,0,2.5,8.712121212,5,26,3,34,29,51
22,27,6,7,3,7,,2.244897959,1.4,3.25,0,8.4375,1.136363636,12,6,12,30,26,42
2,2,8,6,10,11,,0.204081633,2.2,3.5,0,0.625,3.787878788,18,5,15,38,33,43
0,16,7,2,12,14,,0,2.8,2.25,0,5,4.545454545,23,20,10,53,45,60
2,36,2,10,8,15,,0.204081633,3,3,0,11.25,3.03030303,7,8,14,29,25,45
